### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    Top_F_top.011_blazer | F_top.011_blazer | top_mat_top.011_blazer | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Bot_F_bot_001_pants | F_bot_001_pants | bot_mat_bot.001_pants | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes.005_highboots | shoes.005_highboots | shoes_mat_shoes.005_highboots | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
===== 林溪_可动
    tied.02.updouble | tied.02.updouble | hair_mat_hair_tied.002 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    bangs.002 | bangs.002 | hair_mat_hair_bangs.002 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    tied.02..updouble.pigtails | tied.02..updouble.pigtails | hair_mat_hair_tied.002 - twintails | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_lower | F_body_arms_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_upper | F_body_arms_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_feet | F_body_feet | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_hands | F_body_hands | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_knee | F_body_legs_knee | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_lower | F_body_legs_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_upper | F_body_legs_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_shoulders | F_body_shoulders | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso | F_body_torso | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
    Top_F_top_002_jacket | F_top_002_jacket | top_mat_top.002_jacket | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
